trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.22140275816016985}",20,0,-59.4785542089187,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.21531098648973068}",20,0,-30.894934442615117,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.20924959765725148}",20,0,-79.92786546316464,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.2032184401276953}",20,13,-31.526710425836782,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,False,"{'a': 0.01, 'e': 0.19721736312181015}",20,0,-104.92166529000419,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.19124621661235808}",20,0,-46.73657188719533,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.18530485132036545}",25,9,-42.445593777545746,"{0: 12, 1: 1, 2: 1, 3: 2, 4: 0}",1
8,False,"{'a': 0.01, 'e': 0.17939311871139063}",25,0,-2.4796169582656438,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
9,False,"{'a': 0.01, 'e': 0.17351087099181028}",20,0,-7.276142730910044,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.167657961105125}",25,1,3.7385796303161216,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.01, 'e': 0.16183424272828306}",30,5,2.3482295053062394,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",1
12,False,"{'a': 0.01, 'e': 0.1560395702680215}",20,0,10.044646385583189,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.15027379885722736}",30,17,-25.022232989474965,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.01, 'e': 0.14453678435131456}",25,15,-14.720477737617024,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.01, 'e': 0.13882838332462177}",20,12,-28.518466562085855,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.01, 'e': 0.13314845306682632}",25,0,-68.77073308951184,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
