trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 399.99999999999994}",20,0,-31.11614933968742,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.01, 'e': 99.99999999999999}",20,0,-74.14592706259515,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 44.444444444444436}",25,13,-66.18174794396518,"{0: 6, 1: 3, 2: 2, 3: 0, 4: 1}",1
4,False,"{'a': 0.01, 'e': 24.999999999999996}",30,0,-91.68658141494465,"{0: 21, 1: 2, 2: 4, 3: 3, 4: 0}",0
5,False,"{'a': 0.01, 'e': 16.0}",25,0,-74.32191453412013,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.01, 'e': 11.11111111111111}",20,0,-114.46092977357301,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.01, 'e': 8.163265306122451}",30,0,-125.73465595811439,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.01, 'e': 6.250000000000001}",25,0,-196.45816638646443,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 4}",0
9,False,"{'a': 0.01, 'e': 4.938271604938272}",25,0,-220.6385680392064,"{0: 10, 1: 4, 2: 7, 3: 1, 4: 3}",0
10,False,"{'a': 0.01, 'e': 4.000000000000001}",25,0,-257.3696675404914,"{0: 11, 1: 2, 2: 6, 3: 2, 4: 4}",0
11,False,"{'a': 0.01, 'e': 3.3057851239669427}",25,0,-135.33960993095587,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.01, 'e': 2.7777777777777777}",20,0,-176.18292491628662,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.01, 'e': 2.3668639053254434}",25,0,-133.59043865576243,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
14,False,"{'a': 0.01, 'e': 2.040816326530612}",20,0,-87.94333048643831,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.01, 'e': 1.7777777777777775}",25,0,-132.0257752360713,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.01, 'e': 1.5624999999999993}",30,0,-270.8455433685566,"{0: 12, 1: 5, 2: 8, 3: 1, 4: 4}",0
17,False,"{'a': 0.01, 'e': 1.3840830449826982}",30,0,-243.08253546142245,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 5}",0
18,False,"{'a': 0.01, 'e': 1.2345679012345672}",25,0,-155.7772978469399,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
