trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-40.063660798871226,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-217.50087872833535,"{0: 12, 1: 4, 2: 5, 3: 0, 4: 4}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-129.2523981552612,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,0,-196.96762950982472,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",25,0,-51.92164285876828,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,1,-172.12667796525352,"{0: 15, 1: 2, 2: 2, 3: 2, 4: 3}",1
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-171.28076806446904,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",30,0,-237.55122213656506,"{0: 14, 1: 5, 2: 7, 3: 0, 4: 4}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-208.88414107976365,"{0: 12, 1: 3, 2: 5, 3: 2, 4: 3}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",25,0,-165.97872563085366,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-259.95698714328415,"{0: 7, 1: 4, 2: 3, 3: 1, 4: 5}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-68.7952892473924,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-43.49305340066428,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-90.482264639307,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",25,2,-124.59222815075272,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 1}",1
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-97.78739414360545,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,16,5.009007167787162,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-62.98169582999974,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,0,-97.89082443300413,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-207.66076158140973,"{0: 9, 1: 0, 2: 6, 3: 2, 4: 3}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",25,0,-208.88026785632564,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",30,0,-268.41460347943456,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 5}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-131.12260739152595,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520296}",25,0,-178.8397553498896,"{0: 13, 1: 3, 2: 4, 3: 3, 4: 2}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",35,0,-195.36169133294675,"{0: 23, 1: 0, 2: 8, 3: 1, 4: 3}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",25,0,-180.44329703898086,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",25,0,-69.18192642724033,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,0,-59.31554278436958,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",30,0,-169.1784746142906,"{0: 17, 1: 6, 2: 4, 3: 0, 4: 3}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,6,-7.612129758758584,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,-123.2772540018572,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,0,-107.80521032230227,"{0: 14, 1: 2, 2: 6, 3: 3, 4: 0}",0
