trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
33,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-76.08879746795145,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",25,0,-143.16322721334944,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,0,-103.18120233440462,"{0: 11, 1: 0, 2: 6, 3: 3, 4: 0}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",25,14,-1.171268480390724,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",25,0,-121.9678007393784,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",20,0,-98.13514721319095,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,0,-15.525416184769776,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,0,-119.29621374016847,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",30,0,-127.19342292608972,"{0: 17, 1: 8, 2: 3, 3: 0, 4: 2}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",25,0,-121.91033296925033,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",25,1,-187.2313664338538,"{0: 12, 1: 1, 2: 6, 3: 3, 4: 2}",1
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",20,0,-90.75318911530792,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,0,-56.984137197833846,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",20,0,-82.26608753282197,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.891568288195329}",25,16,-5.12115089014052,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,0,-101.51612749403824,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",25,0,-98.95078194299373,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",30,0,-143.45958458285997,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-81.75542248263974,"{0: 12, 1: 3, 2: 2, 3: 3, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-33.49152743515727,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",20,0,-130.9726137883716,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",30,0,-97.61590157004716,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-47.11866076299796,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",25,19,1.8789487465078143,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",20,2,-41.92524480017974,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 0}",1
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,0,-66.98624683988602,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",20,0,-34.49695049811863,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,5,-41.89368684671067,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",1
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,0,-19.765933343816197,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,0,-152.39177234823381,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",25,0,-43.069360715712776,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",20,8,8.10857463123154,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.01, 'e': 0.7960837985490558}",20,4,-88.88105913267492,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 2}",1
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",30,0,-131.97966525341778,"{0: 15, 1: 3, 2: 10, 3: 2, 4: 0}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,8,12.22975763899655,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",25,0,-48.087885024154055,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",20,0,-90.75988519939096,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,0,-1.6303613958810441,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,15,11.674842324821036,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.01, 'e': 0.7518057291408949}",30,0,-167.93405665661493,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",35,0,-191.92156792794623,"{0: 23, 1: 4, 2: 2, 3: 3, 4: 3}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",30,16,-38.32819626249034,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",25,0,-74.77320003871515,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,15,-13.320112749431889,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",20,0,-112.1895672127048,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,0,-91.99693074320211,"{0: 13, 1: 1, 2: 2, 3: 4, 4: 0}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522361}",30,0,-60.04743822907043,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471654}",25,0,-59.328752154198696,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
81,False,"{'a': 0.01, 'e': 0.689498432951747}",25,0,-96.08458839385251,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876135}",25,0,-86.70414692311485,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
83,False,"{'a': 0.01, 'e': 0.674875760071267}",30,0,-145.43848768409566,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 2}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413081}",20,0,-74.67026184301362,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",25,0,-61.09396413685733,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,12,-1.6964802614531447,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",30,0,-36.74192665879251,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",25,0,-142.8244269295676,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",25,12,-96.59059416696242,"{0: 6, 1: 3, 2: 1, 3: 2, 4: 1}",1
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",30,0,-56.4516442671351,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,0,-13.985036607964325,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",25,2,-43.58450689465289,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 1}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",35,5,-155.31701340042756,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",20,0,-12.984140825627486,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",25,0,-135.08685186128528,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",30,11,-47.87426002992573,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 1}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",30,18,-11.914890013761582,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",25,2,-6.186741810330371,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",20,15,9.536399289872382,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.5403023058681397}",20,0,-104.1799490815732,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",25,11,-21.55127936869262,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",30,1,-59.519942891656456,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",25,5,-125.72147238199713,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,0,-55.71307369624163,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",25,12,11.345543778065247,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",20,5,-35.77923961512402,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",25,0,-5.169790892054891,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,11,5.663061708349235,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",25,2,9.44029441089024,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",30,0,-2.100879702504022,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",25,9,-5.2868311496603395,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",30,8,-7.979376967426308,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,0,-45.561690442397676,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",30,0,-48.62482162267984,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",25,11,-8.085354706113474,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",30,22,7.089633477942251,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",35,17,-12.372191474580486,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",30,4,-2.7829035949696426,"{0: 23, 1: 0, 2: 2, 3: 1, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",20,0,-34.155611060048464,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,14,8.940170531484368,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",30,0,-47.38745764408324,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,9,-32.20330286157549,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",30,13,-13.859795050334402,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",25,3,11.324979360751962,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",25,9,12.735697104666388,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",20,2,22.67766495759019,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",25,3,2.275112070809267,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",25,10,11.440309455018372,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",30,17,-4.977075886723926,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",25,4,7.734688010607638,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",25,2,23.393525303709126,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",20,9,-19.52520857794402,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",25,12,-8.244551460928475,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",20,4,23.82996660033256,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",25,0,10.678377320396486,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",25,7,4.987109099404107,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",20,7,-34.658935227308746,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",25,7,20.545613387050775,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",20,7,1.069982548064203,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",25,5,22.039512149083933,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",25,0,18.699989747169226,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",30,18,-19.83329834038824,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
143,False,"{'a': 0.01, 'e': 0.14033160584673673}",20,16,7.418112726906586,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",20,11,19.593194543074095,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.12050276936736662}",30,14,19.730261502435795,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006959}",20,12,17.082126792702503,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693173}",25,14,17.639802436036206,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430968}",20,10,18.864905659346366,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480063}",20,13,14.292536667640535,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",35,28,10.225054463925046,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",20,13,12.469918642790903,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",25,11,21.168585674490075,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",25,18,10.710337431580433,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,20,8.367546431268146,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,12,24.550768755997332,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,13,14.033008220372862,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,16,6.021252693938365,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,15,17.43297435885467,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,17,27.08208109919104,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,14,9.39995605859179,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,5,19.283657230775106,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,8,21.551520670263823,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,8,18.347187809478335,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
