trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 1.718281828459045}",25,0,-155.67295937055206,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
2,False,"{'a': 0.05, 'e': 1.651167210982607}",30,0,-92.01840698623084,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.05, 'e': 1.5857096593158464}",25,0,-160.19191640452402,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
4,False,"{'a': 0.05, 'e': 1.521868260358148}",20,0,-45.4119909702154,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.05, 'e': 1.4596031111569499}",20,0,-185.71678249466413,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
6,False,"{'a': 0.05, 'e': 1.398875293967098}",20,0,-125.03362088439394,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.05, 'e': 1.3396468519259912}",20,0,-131.04278559121582,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.05, 'e': 1.281880765329304}",35,5,-150.16074498811804,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",1
9,False,"{'a': 0.05, 'e': 1.2255409284924679}",20,0,-99.79775460873225,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",0
10,False,"{'a': 0.05, 'e': 1.1705921271834425}",25,0,-100.0969188909244,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.05, 'e': 1.1170000166126748}",20,0,-332.7672930067938,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 7}",0
12,False,"{'a': 0.05, 'e': 1.0647310999664867}",20,0,-49.1679911026321,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.05, 'e': 1.0137527074704766}",30,0,-205.33874576376144,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
14,False,"{'a': 0.05, 'e': 0.9640329759698474}",30,0,-161.13182252718656,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
15,False,"{'a': 0.05, 'e': 0.9155408290138962}",35,0,-118.80238024060917,"{0: 23, 1: 3, 2: 5, 3: 4, 4: 0}",0
