trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 399.99999999999994}",20,0,-27.24084455734694,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.05, 'e': 99.99999999999999}",20,0,-117.18756608426855,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.05, 'e': 44.444444444444436}",30,0,-134.5685872939347,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",1
4,False,"{'a': 0.05, 'e': 24.999999999999996}",20,0,-195.26109797868753,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
5,False,"{'a': 0.05, 'e': 16.0}",20,0,-81.28012417833905,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.05, 'e': 11.11111111111111}",25,0,-89.95739632619828,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
7,False,"{'a': 0.05, 'e': 8.163265306122451}",25,4,-89.93007315854317,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 1}",1
8,False,"{'a': 0.05, 'e': 6.250000000000001}",25,0,-89.68648161748075,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
9,False,"{'a': 0.05, 'e': 4.938271604938272}",25,0,-120.79356802524694,"{0: 11, 1: 5, 2: 7, 3: 2, 4: 0}",0
10,False,"{'a': 0.05, 'e': 4.000000000000001}",20,0,-159.1703427070043,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 3}",0
11,False,"{'a': 0.05, 'e': 3.3057851239669427}",25,0,-114.2454044460526,"{0: 13, 1: 4, 2: 5, 3: 3, 4: 0}",0
12,False,"{'a': 0.05, 'e': 2.7777777777777777}",25,0,-27.997262953886437,"{0: 17, 1: 7, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.05, 'e': 2.3668639053254434}",20,0,-82.38843419401864,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.05, 'e': 2.040816326530612}",25,0,-180.90201594650546,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
15,False,"{'a': 0.05, 'e': 1.7777777777777775}",20,0,-83.50134023672669,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
16,False,"{'a': 0.05, 'e': 1.5624999999999993}",20,0,-142.65607613256657,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.05, 'e': 1.3840830449826982}",30,0,-196.2321649637101,"{0: 13, 1: 11, 2: 3, 3: 0, 4: 3}",0
18,False,"{'a': 0.05, 'e': 1.2345679012345672}",35,17,-79.6760469030219,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 0}",1
19,False,"{'a': 0.05, 'e': 1.1080332409972293}",20,0,-16.873587057897105,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.05, 'e': 0.9999999999999996}",20,0,-69.37883217263195,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
21,False,"{'a': 0.05, 'e': 0.9070294784580495}",30,0,-185.45283323401324,"{0: 14, 1: 3, 2: 11, 3: 0, 4: 2}",0
22,False,"{'a': 0.05, 'e': 0.8264462809917351}",20,1,-43.244870961265704,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 0}",1
23,False,"{'a': 0.05, 'e': 0.7561436672967858}",20,0,-75.01392023318967,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
